,SampleShort,Sample,SiteShort,Rep,Type,Type_MO,SiteFull,TreeSp,TreeStat,SoilPlc_D,Plant_D,RegenYr,TreeDBHAv_cm,OrgDepAv_cm,Orgtype,SoilSam_D,SporSam_D,DistYear,DistType,LatN_Dd,LonW_Dd,Zone,East_m,North_m,PhotoStd,PhotoTrn,Loc,StandStg,GrdCover,MinType,TreeDBH_cm,OrgDep_cm,ReclaimStat,org_NO3,org_NH4,org_totalN,org_P,min_NO3,min_NH4,min_totalN,min_P,maBasalai,pcnm1_jp,pcnm2_jp,newlabels
Gateway.Hill.M14.1.Min10,ws-M14min1,M14_1LM10_2014,M14,1,Min10,min,GH-ws-M14,Wt. Spruce,live,01-Feb-84,01-May-85,1985,11.3,3.5,sparse litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99309,111.57028,12,465351,6316761,IMG_3176.JPG,647,Gateway Hill,young,"moss and lichen, exposed dirt, cones, duff, no grass","many roots, loamy, tan, some coarse gravel",9.6,0.75,Reclaim,3.79,61.9,0.532,15.1,3.12,14,0.081,0,0.331034483,,,spruce_B1
Gateway.Hill.M14.2.Min10,ws-M14min2,M14_2LM10_2014,M14,2,Min10,min,GH-ws-M14,Wt. Spruce,live,01-Feb-84,01-May-85,1985,11.3,3.5,sparse litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99309,111.57028,12,465351,6316761,IMG_3176.JPG,647,Gateway Hill,young,"moss and lichen, exposed dirt, cones, duff, no grass","many roots, loamy, tan, some coarse gravel",9.7,4.75,Reclaim,3.25,68.6,1.16,10.1,1.97,13.7,0.052,0.284,0.334482759,,,spruce_B2
Gateway.Hill.M14.3.Min10,ws-M14min3,M14_3LM10_2014,M14,3,Min10,min,GH-ws-M14,Wt. Spruce,live,01-Feb-84,01-May-85,1985,11.3,3.5,sparse litter,10-Sep-14,10-Sep-14,1970,Reclaim,56.99309,111.57028,12,465351,6316761,IMG_3176.JPG,647,Gateway Hill,young,"moss and lichen, exposed dirt, cones, duff, no grass","many roots, loamy, tan, some coarse gravel",14.6,5,Reclaim,6.35,85.5,1.38,32.2,2.91,13.9,0.075,0.895,0.503448276,,,spruce_B3
Fort.Chipewayn.TR1B.1.Min10,TR1BMin101,TR1B_1LM10_2014,TR1B2,1,Min10,min,FC-jp-TR1B2,Jack Pine,dead/seedlings,Natural,Natural,2012,,0.2,burnt litter,11-Sep-14,11-Sep-14,2011,Burn ,57.54317,111.36305,12,478268,6377910,IMG_3277.JPG,746 and 747,Fort Chipewayn,seedling,"many pine seedlings, kinickanick, charcoal, scattered needles, lichen patches, overstorey trees dead","sandy, beige to light reddish tan",,0,Forestry,,,0.17,,2.28,16.1,0.057,35.3,,0.5967482,0.4999998,
Fort.Chipewayn.TR1B.2.Min10,TR1BMin102,TR1B_2LM10_2014,TR1B2,2,Min10,min,FC-jp-TR1B2,Jack Pine,dead/seedlings,Natural,Natural,2012,,0.2,burnt litter,11-Sep-14,11-Sep-14,2011,Burn ,57.54317,111.36305,12,478268,6377910,IMG_3277.JPG,746 and 747,Fort Chipewayn,seedling,"many pine seedlings, kinickanick, charcoal, scattered needles, lichen patches, overstorey trees dead","sandy, beige to light reddish tan",,0.1,Forestry,,,0.181,,3.34,14.4,0.065,43,,0.5967482,0.4999998,
Fort.Chipewayn.TR1B.3.Min10,TR1BMin103,TR1B_3LM10_2014,TR1B2,3,Min10,min,FC-jp-TR1B2,Jack Pine,dead/seedlings,Natural,Natural,2012,,0.2,burnt litter,11-Sep-14,11-Sep-14,2011,Burn ,57.54317,111.36305,12,478268,6377910,IMG_3277.JPG,746 and 747,Fort Chipewayn,seedling,"many pine seedlings, kinickanick, charcoal, scattered needles, lichen patches, overstorey trees dead","sandy, beige to light reddish tan",,0,Forestry,,,0.353,,4.05,13.1,0.057,37.7,,0.5967482,0.4999998,
Fort.Chipewayn.TR1P.1.Min10,TR1PMin101,TR1P_1LM10_2014,TR1P,1,Min10,min,FC-jp-TR1P,Jack Pine,live,Natural,Natural,1954,10.5,0.8,sparse litter,11-Sep-14,11-Sep-14,2011,Partial burn,57.54206,111.36395,12,478213,6377787,IMG_3253.JPG,724,Fort Chipewayn,young,"ground almost bare except for needle litter, wood pieces, charcoal","sandy, beige to light reddish tan",11.3,0.75,Forestry,2.83,20.6,0.4,102,2.39,14.1,0.063,33.5,0.188333333,0.3793303,-0.4999994,
Fort.Chipewayn.TR1P.2.Min10,TR1PMin102,TR1P_2LM10_2014,TR1P,2,Min10,min,FC-jp-TR1P,Jack Pine,live,Natural,Natural,1954,10.5,0.8,sparse litter,11-Sep-14,11-Sep-14,2011,Partial burn,57.54206,111.36395,12,478213,6377787,IMG_3253.JPG,724,Fort Chipewayn,young,"ground almost bare except for needle litter, wood pieces, charcoal","sandy, beige to light reddish tan",10.7,1.5,Forestry,3.86,22.3,0.837,63.9,3.63,14.6,0.054,31.8,0.178333333,0.3793303,-0.4999994,
Fort.Chipewayn.TR1P.3.Min10,TR1PMin103,TR1P_3LM10_2014,TR1P,3,Min10,min,FC-jp-TR1P,Jack Pine,live,Natural,Natural,1954,10.5,0.8,sparse litter,11-Sep-14,11-Sep-14,2011,Partial burn,57.54206,111.36395,12,478213,6377787,IMG_3253.JPG,724,Fort Chipewayn,young,"ground almost bare except for needle litter, wood pieces, charcoal","sandy, beige to light reddish tan",9.5,0.1,Forestry,8.69,34.1,0.344,25.5,1.88,14.5,0.051,31.7,0.158333333,0.3793303,-0.4999994,
Gateway.Hill.Sw.1.Org,ws-NSorg1,NS_1LO_2016,NS,1,Org,org,GH-ws-NS1,Wt. Spruce,live,Natural,Natural,1926,,,,2016-09-14,,,none,56.98975,111.56139,12,465888,6316385,,,Gateway Hill,,,,34.2,6,none,30.8,93.8,1.36,41.6,6.97,5.51,0.091,30.5,,,,spruce_NS1
Gateway.Hill.Sw.1.Roots,ws-NSroots1,NS_1LR_2016,NS,1,Root,min,GH-ws-NS1,Wt. Spruce,live,Natural,Natural,1926,,,,2016-09-14,,,none,56.98975,111.56139,12,465888,6316385,,,Gateway Hill,,,,34.2,6,none,30.8,93.8,1.36,41.6,6.97,5.51,0.091,30.5,,,,spruce_NS1
Gateway.Hill.Sw.1.Min10,ws-NSmin1,NS_1LM10_2016,NS,1,Min10,min,GH-ws-NS1,Wt. Spruce,live,Natural,Natural,1926,,,,2016-09-14,,,none,56.98975,111.56139,12,465888,6316385,,,Gateway Hill,,,,34.2,6,none,30.8,93.8,1.36,41.6,6.97,5.51,0.091,30.5,,,,spruce_NS1
Gateway.Hill.Sw.1.Min35,ws-NS35min1,NS_1LM35_2016,NS,1,Min35,min,GH-ws-NS1,Wt. Spruce,live,Natural,Natural,1926,,,,2016-09-14,,,none,56.98975,111.56139,12,465888,6316385,,,Gateway Hill,,,,34.2,6,none,30.8,93.8,1.36,41.6,6.97,5.51,0.091,30.5,,,,spruce_NS1
Gateway.Hill.Sw.2.Org,ws-NSorg2,NS_2LO_2016,NS,2,Org,org,GH-ws-NS2,Wt. Spruce,live,Natural,Natural,1985,,,,2016-09-14,,,none,56.98991,111.56179,12,465863,6316403,,,Gateway Hill,,,,24.1,8.4,none,4.68,55.1,0.86,27.8,1.16,6.48,0.121,25.7,,,,spruce_NS2
Gateway.Hill.Sw.2.Roots,ws-NSroots2,NS_2LR_2016,NS,2,Root,min,GH-ws-NS2,Wt. Spruce,live,Natural,Natural,1985,,,,2016-09-14,,,none,56.98991,111.56179,12,465863,6316403,,,Gateway Hill,,,,24.1,8.4,none,4.68,55.1,0.86,27.8,1.16,6.48,0.121,25.7,,,,spruce_NS2
Gateway.Hill.Sw.2.Min10,ws-NSmin2,NS_2LM10_2016,NS,2,Min10,min,GH-ws-NS2,Wt. Spruce,live,Natural,Natural,1985,,,,2016-09-14,,,none,56.98991,111.56179,12,465863,6316403,,,Gateway Hill,,,,24.1,8.4,none,4.68,55.1,0.86,27.8,1.16,6.48,0.121,25.7,,,,spruce_NS2
Gateway.Hill.Sw.2.Min35,ws-NS35min2,NS_2LM35_2016,NS,2,Min35,min,GH-ws-NS2,Wt. Spruce,live,Natural,Natural,1985,,,,2016-09-14,,,none,56.98991,111.56179,12,465863,6316403,,,Gateway Hill,,,,24.1,8.4,none,4.68,55.1,0.86,27.8,1.16,6.48,0.121,25.7,,,,spruce_NS2
