Otu,Size,ID,Organism_Class,Organism_Order,Trophic function,Trophic status,Lifestyle,Growth form,#Accession,%identite,Longueur,BitScore,Gateway Hill-M6-1-Min10,Gateway Hill-M6-2-Min10,Gateway Hill-M6-3-Min10,Gateway Hill-M7-1-Min10,Gateway Hill-Sw-1-Org,Gateway Hill-Sw-1-Roots,Gateway Hill-Sw-1-Min10,Gateway Hill-Sw-1-Min35,Gateway Hill-Sw-2-Org,Gateway Hill-Sw-2-Roots,Gateway Hill-Sw-2-Min10,Gateway Hill-Sw-2-Min35,Gateway Hill-M2-1-Min10,Gateway Hill-M2-2-Min10,Gateway Hill-M2-3-Min10,Gateway Hill-M7-2-Min10,Gateway Hill-M7-3-Min10,Gateway Hill-M8-1-Min10,Gateway Hill-M8-2-Min10,Gateway Hill-M8-3-Min10,Gateway Hill-M14-1-Min10,Gateway Hill-M14-2-Min10,Gateway Hill-M14-3-Min10,Fort Chipewayn-TR1B-1-Min10,Fort Chipewayn-TR1B-2-Min10,Fort Chipewayn-TR1B-3-Min10,Fort Chipewayn-TR1P-1-Min10,Fort Chipewayn-TR1P-2-Min10,Fort Chipewayn-TR1P-3-Min10
OTU_25,13683,Amphinema sp. MB-2011 18S ribosomal RNA ,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP896159.1,98,298,0,1,1,0,0,0,10,246,529,0,0,0,0,0,1,0,2,1,1,0,2,8120,3643,1058,2,64,0,1,0,1
OTU_26,13504,Mortierella sp. 02NH02 18S ribosomal RNA,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,JX270348.1,98.2,274,0,8,20,945,7869,0,0,1,6,20,12,49,12,58,49,0,2444,1727,246,14,0,0,11,11,0,2,0,0,0,0
OTU_27,13089,Mortierella gamsii strain E2A(5) interna,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KX610447.1,100,241,0,47,3,132,577,8,1,179,1874,654,4891,443,814,329,102,9,1022,308,1547,95,0,31,10,12,0,0,0,0,1,0
OTU_28,11881,Sistotrema sp. UC2022975 18S ribosomal R,Agaricomycetes,Cantharellales,Saprotroph,Saprotroph,Saprotroph,,KP814242.1,86.6,307,0,0,0,0,0,768,372,4637,6103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_29,11628,Sebacina epigaea voucher TUB 019992 18S ,Agaricomycetes,Sebacinales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KF000421.1,98.7,303,0,1,0,0,0,0,0,0,1,115,30,33,17,13,0,0,1,0,10,1,0,8930,3,2467,0,4,0,1,1,0
OTU_30,11578,Hebeloma celatum voucher IK-H0245 18S ri,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX687194.1,99.2,366,0,0,54,3271,1,0,0,0,0,26,16,15,10,273,7901,0,0,0,5,2,1,1,0,0,2,0,0,0,0,0
OTU_31,11074,Piloderma sphaerosporum isolate 180 inte,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,MF926559.1,100,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,0,0,11066,1,0,0,0
OTU_32,11063,Cenococcum geophilum isolate 12d small s,Dothideomycetes,Hysteriales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX449206.1,99.3,269,0,2,93,0,0,2,1,10,24,348,1207,1445,1549,1,644,0,12,2,16,2,1,4261,56,953,196,182,5,12,37,2
OTU_33,10728,Mortierella sp. MEL 2385000 18S ribosoma,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KP311421.1,95,279,0,1,0,2,209,43,0,33,41,10,2,7,12,16,116,8,1378,8,8763,33,7,0,16,13,1,7,1,0,0,1
OTU_34,9925,Russula sp. 24 BW-2014 internal transcri,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KF318048.1,100,265,0,0,0,0,1,0,304,3229,6382,1,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
OTU_35,9471,Calyptrozyma arxii CBS 354.92 ITS region,Eurotiomycetes,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,NR_137141.1,98.2,280,0,0,0,0,0,0,1,0,2,1,0,1,1,3,1,0,1,0,0,0,1,0,0,0,269,506,570,1467,3998,2649
OTU_36,9334,Mortierella alpina strain MKOTU34 18S ri,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KP714627.1,99.7,303,0,226,333,197,4144,16,5,26,88,115,109,100,164,503,490,44,773,157,1117,26,14,31,485,106,2,23,6,7,7,20
OTU_37,9038,Tricholoma aurantium voucher LCG2308 int,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JN019587.1,100,328,0,0,0,0,1,0,0,0,0,0,0,0,0,8101,1,1,1,0,0,5,1,2,2,920,0,0,1,1,1,0
OTU_38,8966,Tomentella badia voucher RT00041 18S rib,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,EU819522.1,97.6,328,0,0,0,0,0,0,0,0,0,0,0,0,0,1714,5456,1583,3,0,0,1,1,0,205,1,1,0,1,0,0,0
OTU_39,8409,Neobarya sp. GJS 06-171 18S ribosomal RN,Sordariomycetes,Hypocreales,Biotroph/Mycoparasite,Biotroph,Mycoparasite,,EF160121.1,91.3,286,0,37,343,238,76,0,0,0,0,11,6,16,12,52,42,48,4876,34,2347,48,58,0,63,97,1,2,1,1,0,0
OTU_40,7031,Mortierella exigua strain YCSB6 18S ribo,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KP744419.1,97.7,264,0,61,151,715,55,10,7,28,4,0,0,0,1,0,30,0,5106,143,667,8,0,2,31,11,1,0,0,0,0,0
OTU_41,6994,Trichoderma koningiopsis isolate G.J.S. ,Sordariomycetes,Hypocreales,Saprotroph,Saprotroph,Saprotroph,,AF456923.1,100,313,0,0,19,204,5261,0,0,0,0,6,7,2,4,16,13,0,822,5,37,0,0,1,11,9,41,51,4,2,443,36
OTU_42,6940,Amphinema byssoides isolate PS13 small s,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KT182915.1,97.6,297,0,0,0,178,0,1,40,29,43,840,3529,1116,1157,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
OTU_43,6340,Sordariomycetes sp. genotype 649 JMUR-20,,,,,,,KX909182.1,99.6,252,0,4796,596,875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,66,0,0,0,1,0,0,0
OTU_44,6242,Clitocybe phyllophila voucher AH44071 18,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,KJ680981.1,99.7,361,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,6233,1,0,0,1,0,0,0,0,0,0,0
OTU_45,6209,Hemimycena ochrogaleata voucher 409d 18S,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,JF908431.1,91.2,374,0,6167,2,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_46,5817,Phoma herbarum isolate JM_TPBP033 18S ri,Dothideomycetes,Pleosporales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KY081697.1,100,267,0,859,326,751,254,35,66,34,4,44,3,25,16,106,161,5,1988,139,558,23,3,43,233,60,10,26,7,5,6,27
OTU_47,5618,Lyophyllum decastes voucher LAS06-152 in,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HM572547.1,99.7,361,0,19,39,34,4388,0,0,0,0,0,0,0,2,0,0,1,532,24,564,3,0,12,0,0,0,0,0,0,0,0
OTU_48,5557,Mortierella hyalina strain S9A1CV small ,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KY305040.1,100,282,0,0,0,2099,15,145,24,404,1982,8,10,16,30,2,17,0,364,49,308,45,0,2,7,0,1,20,3,3,1,2
OTU_49,5332,Beauveria bassiana isolate ATT214 18S ri,Sordariomycetes,Hypocreales,Biotroph/Animal parasite,Biotroph,Animal parasite,,HQ607890.1,100,291,0,134,5,97,2235,39,1,2,16,99,0,1,21,4,26,10,1683,168,543,12,1,147,9,76,0,2,0,1,0,0
OTU_50,4897,Paratritirachium curvibasidium strain DA,Tritirachiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,KF258725.1,86,265,0,0,0,0,1,16,0,0,0,0,1,0,2,2,0,0,18,2,43,1,0,1,0,0,41,3950,117,49,51,602
OTU_51,4812,Sporormiella leporina voucher S:Lundqvis,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,GQ203781.1,100,228,0,36,65,1870,1216,0,0,0,0,2,2,2,2,21,35,2,1093,286,112,30,0,15,10,10,0,2,0,1,0,0
OTU_52,4737,Tricholoma luteomaculosum voucher UBC F1,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HM240543.1,98.5,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,4724,0,0,0,0
OTU_53,4730,Tylospora sp. 1 LR-2015 voucher UC202292,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814163.1,98.1,208,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,1,0,0,1,6,3,2,2,4,3,6,4637,58,0,0
OTU_54,4627,Tomentella fuscocinerea 18S rRNA gene (p,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,FN594893.1,99,288,0,0,0,0,0,59,260,1491,2811,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
OTU_55,4551,Mycoarthris sp. S-8 18S ribosomal RNA ge,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KJ735002.1,99.6,264,0,0,0,25,0,3,0,1,0,2011,12,11,11,0,0,0,4,12,2419,25,12,0,3,0,0,0,1,1,0,0
OTU_56,4546,Penicillium canescens isolate ATT296 18S,Eurotiomycetes,Eurotiales,Saprotroph,Saprotroph,Saprotroph,,HQ607929.1,100,302,0,2,0,42,442,0,2,1,29,1,4,6,16,90,99,22,3633,123,2,1,0,2,24,1,2,0,0,2,0,0
OTU_57,4429,Trichothecium crotocinigenum strain D2A(,Sordariomycetes,Hypocreales,Unknown Function,Unknown Function,Unknown Function,,KX610402.1,100,271,0,1315,295,312,1119,0,1,5,20,2,1,5,7,39,86,30,0,55,941,57,92,8,17,22,0,0,0,0,0,0
OTU_58,4427,Russula persicina 499RUS26 18S ribosomal,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,AY061707.1,96,323,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,4340,79,2,0,0,1
OTU_59,4226,Inocybe splendens var. phaeoleuca isolat,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HQ604527.1,99.2,378,0,0,0,0,0,0,0,0,0,0,0,0,0,4159,0,64,0,0,0,1,0,0,1,0,1,0,0,0,0,0
OTU_60,4203,Knufia peltigerae culture-collection CGM,Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,KP174864.1,97.6,289,0,1322,147,308,10,152,5,37,17,38,0,5,1,30,230,7,602,11,283,3,0,543,329,120,0,2,0,0,0,1
OTU_61,4202,Russula lutea isolate 040528-01OC 18S ri,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HQ604848.1,99.7,317,0,0,0,0,0,2,37,746,887,13,269,995,1100,3,2,0,37,3,63,3,0,2,1,1,0,24,2,3,2,7
OTU_62,3958,Ericoid mycorrhizal sp. Sm5 internal tra,,,Symbiotroph/Ericoid,Symbiotroph,Ericoid,,AY046400.1,98.4,243,0,90,589,26,109,27,15,119,63,71,8,28,19,139,618,29,1652,8,19,106,1,4,174,39,1,1,0,0,2,1
OTU_63,3906,Luellia recondita isolate 217 internal t,Agaricomycetes,Trechisporales,Saprotroph,Saprotroph,Saprotroph,,MF926550.1,92.2,283,0,0,0,0,0,0,0,0,2,2,1,1,10,0,1,0,0,0,0,0,0,0,0,0,396,2188,719,16,134,436
OTU_64,3709,Infundichalara microchona isolate SM19A2,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,DQ093752.1,98.5,274,0,44,3,10,189,159,10,172,61,101,1,2,1,10,122,15,216,0,2302,274,1,0,12,1,0,0,1,2,0,0
OTU_65,3676,Piloderma olivaceum voucher UC2022993 18,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814544.1,100,322,0,0,0,0,0,2,0,0,0,239,1050,1170,1164,0,0,0,17,0,20,1,0,0,0,0,0,5,1,2,2,3
OTU_66,3652,Inocybe obscurobadia voucher 14768 18S r,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JF908153.1,99.5,375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3646,1,0,0,1,0,1,0,0,0,2,0,0,0,0
OTU_67,3615,Geminibasidium hirsutum strain DAOM 2419,Wallemiomycetes,Geminibasidiales,Saprotroph,Saprotroph,Saprotroph,,JX242880.1,92.9,266,0,1,0,0,0,3,0,0,1,0,0,2,1,1,0,0,9,1,19,0,2,2,0,1,112,253,1465,834,765,143
OTU_68,3586,Sebacina epigaea voucher JS962014 small ,Agaricomycetes,Sebacinales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KX354284.1,98.3,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,2,1,3574,1,0,0,0,0,0,1
OTU_69,3561,Phialocephala sp. clone PM69AR small sub,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,MF948655.1,100,303,0,0,0,60,225,3,241,34,41,9,113,46,36,3,86,21,4,0,8,4,0,0,87,4,75,1528,403,101,101,328
OTU_70,3546,Tomentella sp. voucher MES-2144 internal,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KY462669.1,97.6,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_71,3468,Eucasphaeria capensis isolate 2712 18S r,Sordariomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,EU272516.1,92,289,0,1336,253,366,459,0,158,5,7,66,3,2,5,33,3,10,456,16,211,25,35,8,4,7,0,0,0,0,0,0
OTU_72,3437,Hymenoscyphus sp. 1558 internal transcri,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,AY348593.1,100,245,0,67,8,239,0,3,0,0,0,183,0,4,0,0,1,0,253,0,2571,22,0,17,34,34,0,0,1,0,0,0
OTU_73,3398,Tuber anniae isolate PS7 small subunit r,Pezizomycetes,Pezizales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KT182909.1,99.7,340,0,0,0,0,0,0,0,0,0,106,0,4,5,1,1,0,3279,0,1,0,0,0,0,0,0,1,0,0,0,0
OTU_74,3376,Hyphodontia pallidula voucher CFMR:DLL20,Agaricomycetes,Hymenochaetales,Saprotroph/White rot,Saprotroph,White rot,White rot,KJ140566.1,89.6,327,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3168,0,0,201,1,0,1,1,0,0,0,0,0,0
OTU_75,3326,OTU_75,,,,,,,,,,,204,8,136,265,2,0,1,0,1,0,0,0,109,139,22,2237,130,1,0,3,52,13,2,0,0,0,0,0,1
OTU_76,3320,Phoma sp. MJW-2010e isolate SK 6-2 inter,Dothideomycetes,Pleosporales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,HM589493.1,100,251,0,141,10,108,398,0,0,1,0,0,0,0,0,32,20,3,2464,61,0,2,1,18,52,9,0,0,0,0,0,0
OTU_77,3223,Mortierella sp. 16WV02 18S ribosomal RNA,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,JX270497.1,89,308,0,0,0,0,3223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_78,3193,Cylindrocarpon sp. 4 PB-2014 strain 158H,Sordariomycetes,Hypocreales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KM248587.1,100,265,0,46,141,693,875,0,0,0,0,0,0,0,0,17,33,2,253,95,944,3,29,17,19,26,0,0,0,0,0,0
OTU_79,3193,Thelephora terrestris isolate O4Wr_4 18S,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JX030284.1,100,322,0,1,0,2,3,1,0,0,0,0,0,2,5,0,0,0,0,0,1,12,0,0,1,0,171,2215,59,211,508,1
OTU_80,3191,Tricholoma matsutake clone J28 18S ribos,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KJ937000.1,97.6,297,0,0,0,116,5,0,2,28,88,5,9,18,18,4,36,98,8,11,2236,69,13,0,1,30,11,125,121,7,26,106
OTU_81,3085,Mortierella verticillata isolate 90Jb14 ,Incertae sedis,Mortierellales,Saprotroph,Saprotroph,Saprotroph,,KU516635.1,100,250,0,1,0,0,0,15,1,25,57,44,990,378,805,3,6,0,102,5,146,3,0,4,0,0,114,210,117,13,24,22
OTU_82,3084,Chalara hyalocuspica isolate 385Ja14 18S,Incertae sedis,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,KU516440.1,95.2,289,0,1,0,0,102,0,0,0,1,0,0,0,0,3,0,21,1538,6,1341,36,34,0,0,0,1,0,0,0,0,0
OTU_83,2934,Epacris microphylla root associated fungi,,,,,,,AY268217.1,98.5,264,0,0,1,0,1,3,4,32,64,1,63,56,77,0,1,0,0,0,5,1,0,1,3,2,54,1652,247,59,135,472
OTU_84,2808,Hodophilus smithii strain DED5230 18S sm,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,KU882891.1,98,294,0,0,0,0,0,118,2,0,2,0,0,7,2,30,45,3,805,30,1109,10,12,31,6,1,16,279,52,72,51,125
OTU_85,2802,Ilyonectria sp. 2 PB-2014 strain 106HR12,Sordariomycetes,Hypocreales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KM248554.1,100,263,0,26,10,427,1766,3,65,23,64,10,126,117,112,4,0,0,9,0,14,0,4,11,3,0,0,3,1,2,0,2
